input,in_size,algorithm,out_size,n_factors,comp_time,mem_usage,init_time,round_time,factor_time
data/proteins.100MB,5242880,Approx.LZ77,3268689,1018518,785,0,110,570,103
data/proteins.100MB,10485760,Approx.LZ77,5272444,1532864,1390,0,199,1026,164
data/proteins.100MB,15728640,Approx.LZ77,7820851,2216516,2181,0,387,1542,249
data/proteins.100MB,20971520,Approx.LZ77,10729969,2902571,3232,0,509,2388,331
data/proteins.100MB,26214400,Approx.LZ77,13633341,3662110,4171,0,645,3108,414
data/proteins.100MB,31457280,Approx.LZ77,18064188,4807059,5348,0,813,3970,561
data/proteins.100MB,36700160,Approx.LZ77,23455849,6012197,6788,0,1046,4994,745
data/proteins.100MB,41943040,Approx.LZ77,28412516,7634604,7044,0,1267,4864,911
data/proteins.100MB,47185920,Approx.LZ77,33318496,8862459,8242,0,1497,5634,1109
data/proteins.100MB,52428800,Approx.LZ77,37970621,10026551,8770,0,1878,5607,1283
data/proteins.100MB,57671680,Approx.LZ77,41969683,11026952,9789,0,2137,6206,1442
data/proteins.100MB,62914560,Approx.LZ77,45893382,12008469,10763,0,2434,6739,1588
data/proteins.100MB,68157440,Approx.LZ77,51907771,13126317,12165,0,2829,7541,1791
data/proteins.100MB,73400320,Approx.LZ77,56738844,14298097,13220,0,2853,8413,1951
data/proteins.100MB,78643200,Approx.LZ77,60344506,15172738,14543,0,3362,9305,1872
data/proteins.100MB,83886080,Approx.LZ77,63997373,16059102,15590,0,3409,9930,2247
data/proteins.100MB,89128960,Approx.LZ77,67303188,16861617,16142,0,3570,10174,2393
data/proteins.100MB,94371840,Approx.LZ77,69920122,17500229,18162,0,4114,11598,2446
data/proteins.100MB,99614720,Approx.LZ77,71439530,17872259,18840,0,4434,12079,2323
data/proteins.100MB,104857600,Approx.LZ77,73954829,18485115,20220,0,4316,13095,2804
