input,in_size,algorithm,out_size,n_factors,comp_time,mem_usage,init_time,round_time,factor_time
data/proteins.100MB,5242880,Approx.LZ77Par,3268475,1018459,405,49304984,47,247,110
data/proteins.100MB,10485760,Approx.LZ77Par,5272358,1532841,574,78146752,49,356,168
data/proteins.100MB,15728640,Approx.LZ77Par,7820671,2216468,729,117038016,175,349,203
data/proteins.100MB,20971520,Approx.LZ77Par,10729628,2902483,926,157685008,111,529,285
data/proteins.100MB,26214400,Approx.LZ77Par,13632876,3661990,1217,187221336,148,646,420
data/proteins.100MB,31457280,Approx.LZ77Par,18063696,4806932,1486,259607712,178,816,490
data/proteins.100MB,36700160,Approx.LZ77Par,23455341,6012070,1792,329754344,211,931,648
data/proteins.100MB,41943040,Approx.LZ77Par,28345391,7234801,2192,396056280,243,1187,760
data/proteins.100MB,47185920,Approx.LZ77Par,33251145,8461294,2485,460224344,277,1335,871
data/proteins.100MB,52428800,Approx.LZ77Par,37901502,9623958,2760,521667648,292,1512,953
data/proteins.100MB,57671680,Approx.LZ77Par,41900393,10623721,3049,587045296,339,1636,1071
data/proteins.100MB,62914560,Approx.LZ77Par,45823943,11604646,3289,634540216,441,1716,1130
data/proteins.100MB,68157440,Approx.LZ77Par,51854956,12721650,3778,693235176,502,1985,1288
data/proteins.100MB,73400320,Approx.LZ77Par,56685940,13892818,4195,748120656,582,2176,1433
data/proteins.100MB,78643200,Approx.LZ77Par,60291512,14766966,4421,801971248,578,2278,1561
data/proteins.100MB,83886080,Approx.LZ77Par,63944257,15652672,4765,851351368,645,2452,1664
data/proteins.100MB,89128960,Approx.LZ77Par,67249948,16454232,5050,896815672,689,2582,1776
data/proteins.100MB,94371840,Approx.LZ77Par,69866466,17089636,5264,930559416,682,2832,1745
data/proteins.100MB,99614720,Approx.LZ77Par,71383206,17458209,5595,949774640,792,2962,1836
data/proteins.100MB,104857600,Approx.LZ77Par,73901244,18069108,5689,987543472,787,3082,1816
